,Team,Over Record,Over %,Under %,Total +/-,Year,Rank,Record,FBS,FEI,OFEI,DFEI,NDE,NPD,NAY,NPP,ELS,GLS,ALS
994,Hawaii,7-6-0,53.9,46.2,-0.4,2015,119,3-10,2-10,-0.95,-1.44,-0.56,-1.63,-1.56,-0.203,-1.0,0.56,2.02,4.92
995,Boise State,7-6-0,53.9,46.2,3.5,2015,38,9-4,8-4,0.33,-0.12,0.77,1.02,1.06,0.182,0.95,0.29,1.44,4.45
996,BYU,7-6-0,53.9,46.2,1.9,2015,39,9-4,8-4,0.33,0.02,0.64,0.48,0.53,0.033,0.65,0.51,2.63,6.7
997,San Jose State,7-6-0,53.9,46.2,1.5,2015,93,6-7,5-7,-0.35,-0.17,-0.44,-0.08,-0.21,0.012,-0.23,0.28,1.5,4.43
998,Georgia Tech,6-6-0,50.0,50.0,-0.1,2015,56,3-9,2-9,0.14,-0.44,0.45,-0.46,-0.45,-0.055,-0.6,1.08,3.89,7.47
999,Kansas,6-6-0,50.0,50.0,0.2,2015,123,0-12,0-11,-0.98,-1.24,-0.86,-2.59,-2.62,-0.347,-3.01,0.89,3.48,7.34
1000,Kentucky,6-6-0,50.0,50.0,-1.8,2015,79,5-7,4-7,-0.1,-0.33,0.02,-0.44,-0.38,-0.093,-0.4,0.71,3.08,6.53
1001,Troy,6-6-0,50.0,50.0,-1.8,2015,96,4-8,3-8,-0.39,-0.83,-0.08,-0.4,-0.34,-0.053,0.09,0.4,1.79,4.16
1002,Pittsburgh,6-6-1,50.0,50.0,3.7,2015,45,8-5,7-5,0.26,0.02,0.28,-0.03,-0.11,0.026,-0.3,0.74,3.38,7.76
1003,Oregon State,6-6-0,50.0,50.0,-0.7,2015,102,2-10,1-10,-0.6,-0.72,-0.5,-1.82,-2.02,-0.234,-1.72,1.02,3.85,7.68
1004,Northern Illinois,7-7-0,50.0,50.0,-0.9,2015,73,8-6,7-6,-0.04,-0.56,0.47,0.1,0.15,-0.037,-0.09,0.63,2.42,5.73
1005,Bowling Green,7-7-0,50.0,50.0,2.0,2015,27,10-4,10-4,0.44,1.01,0.07,1.18,1.08,0.103,1.15,0.49,2.23,6.13
1006,Rutgers,6-6-0,50.0,50.0,5.4,2015,94,4-8,3-8,-0.36,-0.33,-0.71,-1.3,-1.36,-0.208,-2.16,0.89,3.38,6.8
1007,Wake Forest,6-6-0,50.0,50.0,-4.1,2015,87,3-9,2-9,-0.2,-1.04,0.39,-1.04,-0.9,-0.113,-1.31,1.02,3.65,7.23
1008,Miami (OH),6-6-0,50.0,50.0,-2.7,2015,112,3-9,2-9,-0.76,-1.41,0.01,-1.03,-1.23,-0.131,-0.7,0.32,1.54,4.41
1009,Virginia Tech,6-7-0,46.2,53.9,8.2,2015,53,7-6,6-6,0.17,-0.51,0.55,-0.08,0.04,0.01,-0.43,0.68,2.85,6.97
1010,Arkansas,6-7-0,46.2,53.9,7.7,2015,13,8-5,7-5,0.69,1.2,0.27,0.6,0.63,0.108,0.65,1.62,5.06,8.79
1011,New Mexico,6-7-0,46.2,53.9,-0.8,2015,97,7-6,6-6,-0.4,-0.64,-0.27,-0.41,-0.37,-0.11,-0.88,0.19,1.15,4.05
1012,USC,6-7-1,46.2,53.9,-1.9,2015,16,8-6,8-6,0.61,0.48,0.64,0.55,0.56,0.02,0.33,1.45,5.09,9.65
1013,Mississippi State,6-7-0,46.2,53.9,-0.1,2015,14,9-4,8-4,0.64,0.61,0.8,0.67,0.61,0.095,0.79,1.4,4.43,8.36
1014,Duke,6-7-0,46.2,53.9,4.7,2015,60,8-5,7-5,0.03,-0.43,0.11,-0.22,-0.1,0.037,-0.35,0.37,2.16,6.05
1015,Florida State,6-7-0,46.2,53.9,-2.4,2015,15,10-3,9-3,0.64,0.29,0.95,1.0,1.06,0.101,1.73,0.72,3.14,7.2
1016,Memphis,6-7-0,46.2,53.9,2.0,2015,37,9-4,8-4,0.36,0.28,0.38,0.47,0.65,0.08,0.2,0.81,3.22,6.64
1017,Houston,6-7-1,46.2,53.9,0.4,2015,18,13-1,12-1,0.58,0.37,0.75,1.34,1.32,0.142,0.72,0.49,2.3,5.68
1018,Cincinnati,6-7-0,46.2,53.9,0.3,2015,70,7-6,6-6,-0.01,0.19,-0.03,0.2,0.11,0.049,0.56,0.41,2.39,6.25
1019,Arizona State,6-7-0,46.2,53.9,6.3,2015,41,6-7,5-7,0.3,0.12,0.49,0.03,0.11,0.028,-0.71,0.83,3.85,8.28
1020,Georgia Southern,6-7-0,46.2,53.9,2.2,2015,51,9-4,8-4,0.19,-0.01,0.47,0.97,1.09,0.133,0.78,0.37,1.78,4.36
1021,Appalachian State,6-7-0,46.2,53.9,-1.3,2015,49,11-2,10-2,0.21,-0.09,0.7,1.26,1.22,0.134,2.03,0.44,1.21,3.03
1022,TCU,6-7-0,46.2,53.9,-0.7,2015,23,11-2,10-2,0.49,0.19,0.68,0.56,0.62,0.126,1.12,0.82,3.2,6.94
1023,UCF,5-6-1,45.5,54.6,2.1,2015,126,0-12,0-11,-1.1,-1.81,-0.87,-2.56,-2.48,-0.293,-2.85,0.61,2.35,5.53
1024,San Diego State,6-8-0,42.9,57.1,-0.4,2015,47,11-3,10-3,0.23,-0.33,0.78,1.05,1.13,0.13,0.65,0.19,1.11,3.98
1025,Michigan State,6-8-0,42.9,57.1,-1.5,2015,17,12-2,12-2,0.6,0.3,0.92,0.78,0.68,0.097,0.26,1.28,4.26,8.92
1026,Florida,6-8-0,42.9,57.1,-4.7,2015,32,10-4,10-4,0.4,-0.41,1.02,0.18,0.14,0.05,0.41,1.69,5.04,8.98
1027,East Carolina,5-7-0,41.7,58.3,-4.8,2015,69,5-7,4-7,0.0,-0.4,0.21,-0.11,-0.04,0.013,0.09,0.39,2.2,5.71
1028,Texas,5-7-0,41.7,58.3,-0.4,2015,66,5-7,5-7,0.02,-0.61,0.57,-0.42,-0.31,-0.105,-0.35,1.1,3.96,7.57
1029,North Texas,5-7-0,41.7,58.3,-2.9,2015,128,1-11,1-10,-1.17,-1.7,-0.85,-2.25,-2.24,-0.239,-2.24,0.49,2.05,4.75
1030,Charlotte,5-7-0,41.7,58.3,-2.5,2015,127,2-10,1-10,-1.15,-1.92,-0.37,-1.49,-1.61,-0.198,-1.77,0.12,0.77,3.02
1031,Massachusetts,5-7-0,41.7,58.3,-7.1,2015,100,3-9,3-9,-0.54,-0.85,-0.18,-0.63,-0.77,-0.087,-0.16,0.46,1.78,4.32
1032,Alabama,6-9-0,40.0,60.0,1.0,2015,1,14-1,13-1,1.1,0.44,1.75,1.32,1.4,0.193,1.49,1.96,6.53,10.99
1033,Penn State,5-8-0,38.5,61.5,-0.2,2015,50,7-6,7-6,0.2,-0.32,0.82,0.28,0.3,0.046,1.0,0.88,3.41,7.55
1034,Auburn,5-8-0,38.5,61.5,-3.4,2015,29,7-6,6-6,0.42,0.07,0.75,0.05,0.16,-0.061,-0.06,1.62,4.95,8.54
1035,Washington State,5-8-0,38.5,61.5,-5.3,2015,42,9-4,9-3,0.29,0.04,0.68,0.55,0.6,0.039,0.35,0.76,2.99,6.62
1036,Wisconsin,5-8-0,38.5,61.5,-8.7,2015,25,10-3,10-3,0.47,-0.26,1.12,0.92,0.98,0.155,1.04,0.83,2.7,6.2
1037,Washington,5-8-0,38.5,61.5,-3.5,2015,19,7-6,6-6,0.58,-0.26,1.27,0.43,0.51,0.048,0.73,0.88,3.78,8.12
1038,Central Michigan,5-8-0,38.5,61.5,-4.5,2015,78,7-6,6-6,-0.06,-0.45,0.36,0.23,0.25,0.044,0.38,0.39,1.93,5.2
1039,Middle Tennessee,5-8-0,38.5,61.5,0.7,2015,80,7-6,6-6,-0.11,-0.23,0.07,0.21,0.22,0.006,0.33,0.71,2.11,4.68
1040,Northwestern,5-8-0,38.5,61.5,-7.0,2015,54,10-3,9-3,0.15,-0.92,1.22,-0.03,-0.02,-0.027,-0.16,1.03,3.77,7.71
1041,California,5-8-0,38.5,61.5,2.4,2015,36,8-5,7-5,0.37,0.79,0.08,0.35,0.2,0.044,0.98,0.98,4.08,8.41
1042,Akron,5-8-0,38.5,61.5,-4.9,2015,88,8-5,7-5,-0.22,-0.84,0.5,0.07,0.03,0.001,0.01,0.54,1.81,4.34
1043,Iowa State,4-7-1,36.4,63.6,-1.7,2015,83,3-9,2-9,-0.14,-0.32,0.2,-0.68,-0.72,-0.069,-0.66,0.97,3.8,7.56
1044,South Carolina,4-7-1,36.4,63.6,-3.5,2015,61,3-9,3-8,0.03,-0.07,-0.04,-0.58,-0.57,-0.053,-0.4,1.26,4.23,7.62
1045,Temple,5-9-0,35.7,64.3,1.6,2015,52,10-4,10-4,0.18,-0.41,0.74,0.63,0.72,0.085,0.44,0.63,2.78,6.44
1046,Kent State,4-8-0,33.3,66.7,-7.5,2015,108,3-9,2-9,-0.72,-1.6,0.19,-1.2,-1.31,-0.169,-1.21,0.25,1.43,4.63
1047,UCLA,4-8-1,33.3,66.7,-2.8,2015,35,8-5,8-5,0.37,0.19,0.66,0.55,0.5,0.04,1.13,0.85,3.53,7.81
1048,Ball State,4-8-0,33.3,66.7,-1.5,2015,105,3-9,2-9,-0.63,-0.73,-0.62,-1.29,-1.34,-0.157,-1.57,0.37,2.0,5.39
1049,Wyoming,4-8-0,33.3,66.7,-2.0,2015,115,2-10,2-9,-0.84,-0.84,-0.77,-1.34,-1.52,-0.145,-1.29,0.21,1.47,4.66
1050,Florida Atlantic,4-8-0,33.3,66.7,-5.4,2015,104,3-9,3-9,-0.63,-1.22,-0.01,-0.38,-0.39,-0.023,-0.48,0.29,1.32,3.7
1051,Illinois,4-8-0,33.3,66.7,-6.3,2015,71,5-7,4-7,-0.01,-0.54,0.56,-0.3,-0.43,-0.013,-0.21,0.81,3.15,6.76
1052,UTEP,4-8-0,33.3,66.7,-1.5,2015,125,5-7,4-7,-1.06,-1.48,-0.51,-0.98,-0.9,-0.109,-1.83,0.3,1.18,2.9
1053,Army,4-8-0,33.3,66.7,-0.3,2015,101,2-10,1-9,-0.58,-0.96,-0.15,-0.56,-0.59,-0.063,-0.47,0.23,1.2,3.61
1054,Ohio State,4-9-0,30.8,69.2,-6.7,2015,5,12-1,12-1,0.89,0.4,1.21,1.49,1.61,0.207,1.91,0.69,3.13,7.41
1055,Nevada,4-9-0,30.8,69.2,-2.6,2015,95,7-6,6-6,-0.39,-0.66,-0.12,-0.17,-0.15,-0.088,-0.34,0.23,1.07,3.61
1056,West Virginia,4-9-0,30.8,69.2,-3.4,2015,28,8-5,7-5,0.43,-0.07,1.18,0.76,0.61,0.07,0.73,0.83,3.34,7.34
1057,Colorado,4-9-0,30.8,69.2,-8.3,2015,89,4-9,3-9,-0.23,-0.65,0.14,-0.58,-0.64,-0.088,-1.04,0.84,3.19,6.69
1058,Texas A&M,4-9-0,30.8,69.2,-9.2,2015,22,8-5,7-5,0.5,-0.18,1.08,0.16,0.26,0.052,0.04,1.49,4.57,8.22
1059,Ole Miss,4-9-0,30.8,69.2,3.5,2015,6,10-3,9-3,0.8,0.84,1.01,1.19,1.12,0.137,1.97,1.44,4.66,8.24
1060,Georgia State,4-9-0,30.8,69.2,-6.2,2015,98,6-7,6-6,-0.43,-0.72,0.09,0.26,0.16,-0.002,1.05,0.21,1.01,3.22
1061,Marshall,4-9-0,30.8,69.2,-4.9,2015,68,10-3,9-3,0.0,-0.81,0.63,0.65,0.79,0.077,0.59,0.23,0.96,3.13
1062,Toledo,3-9-0,25.0,75.0,-2.1,2015,31,10-2,10-2,0.41,0.08,0.85,1.14,1.16,0.125,1.14,0.41,1.89,5.06
1063,Georgia,3-10-0,23.1,76.9,-10.2,2015,26,10-3,9-3,0.47,-0.2,1.07,0.5,0.49,0.082,0.82,0.96,3.41,7.37
1064,Boston College,2-10-0,16.7,83.3,-9.3,2015,74,3-9,1-9,-0.04,-1.54,1.49,-0.42,-0.5,-0.081,-0.79,0.82,3.11,6.59
1065,Connecticut,2-11-0,15.4,84.6,-9.5,2015,84,6-7,5-7,-0.15,-0.92,0.72,-0.11,-0.12,-0.035,-0.05,0.46,2.43,6.06
1066,Vanderbilt,1-10-1,9.1,90.9,-10.4,2015,77,4-8,3-8,-0.06,-1.18,1.23,-0.57,-0.73,-0.088,-1.13,1.05,4.03,7.95
1067,Missouri,1-11-0,8.3,91.7,-14.3,2015,62,5-7,4-7,0.03,-1.06,1.04,-0.51,-0.4,-0.082,-0.38,0.84,3.41,7.26
1068,Pittsburgh,11-2-0,84.6,15.4,18.4,2016,27,8-5,7-5,0.39,0.88,-0.26,0.13,0.18,0.009,0.8,1.18,3.95,7.68
1069,Louisiana Tech,11-3-0,78.6,21.4,11.9,2016,54,9-5,8-5,0.11,0.53,-0.52,0.5,0.47,0.086,1.52,0.38,1.66,4.45
1070,Penn State,11-3-0,78.6,21.4,10.1,2016,13,11-3,11-3,0.67,0.44,0.71,0.72,0.83,0.084,1.42,1.88,4.92,8.81
1071,New Mexico,10-3-0,76.9,23.1,9.8,2016,88,9-4,8-4,-0.29,0.07,-0.81,0.1,0.1,0.011,0.16,0.17,0.85,3.19
1072,South Florida,10-3-0,76.9,23.1,11.7,2016,39,11-2,10-2,0.29,0.69,-0.02,0.76,0.73,0.044,0.92,0.41,1.87,5.28
1073,UNLV,9-3-0,75.0,25.0,10.5,2016,116,4-8,3-8,-0.72,-0.57,-0.89,-0.8,-0.95,-0.129,-0.64,0.17,1.09,3.72
1074,UL Monroe,9-3-0,75.0,25.0,5.6,2016,125,4-8,3-8,-0.96,-0.86,-1.12,-1.47,-1.39,-0.179,-2.06,0.56,1.74,4.15
1075,Purdue,8-3-1,72.7,27.3,6.5,2016,103,3-9,2-9,-0.54,-0.45,-0.66,-1.27,-1.3,-0.107,-1.46,0.68,2.76,6.2
1076,Middle Tennessee,9-4-0,69.2,30.8,10.7,2016,97,8-5,7-5,-0.44,-0.1,-0.66,0.2,0.09,0.012,1.47,0.23,1.01,3.08
1077,Hawaii,9-4-0,69.2,30.8,5.2,2016,108,7-7,6-7,-0.6,-0.76,-0.48,-0.66,-0.58,-0.113,-0.45,0.73,1.89,4.57
1078,Tennessee,9-4-0,69.2,30.8,9.2,2016,25,9-4,8-4,0.4,0.49,0.27,0.32,0.43,0.049,0.47,1.17,3.46,7.54
1079,Michigan,9-4-0,69.2,30.8,2.8,2016,2,10-3,10-3,1.18,0.69,1.43,1.59,1.82,0.226,1.34,1.43,4.17,7.81
1080,Florida Atlantic,8-4-0,66.7,33.3,7.4,2016,123,3-9,2-9,-0.89,-0.81,-1.14,-1.23,-1.19,-0.144,-1.42,0.4,1.49,3.36
1081,Iowa State,8-4-0,66.7,33.3,-1.3,2016,70,3-9,3-8,-0.08,-0.07,-0.5,-0.88,-0.71,-0.086,-0.62,0.56,2.81,6.53
1082,California,8-4-0,66.7,33.3,7.0,2016,65,5-7,5-7,0.01,0.51,-0.69,-0.56,-0.47,-0.055,-0.88,1.12,3.71,7.64
1083,Wyoming,9-5-0,64.3,35.7,12.3,2016,71,8-6,7-6,-0.1,-0.21,-0.03,-0.07,-0.06,-0.016,-0.74,0.26,1.81,5.77
1084,Texas Tech,7-4-1,63.6,36.4,5.5,2016,67,5-7,4-7,-0.03,0.9,-0.96,-0.26,-0.31,-0.076,-0.9,0.49,2.66,6.62
1085,Tulsa,8-5-0,61.5,38.5,4.2,2016,43,10-3,9-3,0.25,0.47,0.17,0.9,0.94,0.122,0.86,0.73,1.98,4.73
1086,Memphis,8-5-0,61.5,38.5,2.9,2016,33,8-5,7-5,0.34,0.39,0.1,0.41,0.63,0.05,0.5,0.43,2.34,6.11
1087,Air Force,8-5-0,61.5,38.5,7.2,2016,59,10-3,9-3,0.05,0.03,0.12,0.73,0.83,0.104,0.0,0.18,0.96,3.65
1088,Louisville,8-5-0,61.5,38.5,1.9,2016,10,9-4,9-4,0.72,0.73,0.93,1.42,1.34,0.21,2.32,1.15,3.29,6.68
1089,Old Dominion,8-5-0,61.5,38.5,3.8,2016,72,10-3,9-3,-0.12,0.14,-0.02,0.93,0.84,0.11,1.14,0.26,1.09,3.12
1090,Arizona,7-5-0,58.3,41.7,1.3,2016,84,3-9,2-9,-0.27,0.27,-0.59,-0.87,-1.08,-0.085,0.35,1.26,4.03,7.6
1091,Oregon,7-5-0,58.3,41.7,4.1,2016,68,4-8,3-8,-0.05,0.72,-0.89,-0.7,-0.8,-0.074,-0.28,1.23,3.95,7.62
1092,Massachusetts,7-5-0,58.3,41.7,7.7,2016,113,2-10,1-10,-0.69,-0.65,-0.62,-1.01,-1.04,-0.166,-1.06,0.24,1.56,4.84
1093,UTEP,7-5-0,58.3,41.7,7.6,2016,126,4-8,3-8,-0.98,-0.92,-1.16,-1.15,-1.17,-0.177,-0.77,0.11,0.57,2.53
1094,Florida International,7-5-0,58.3,41.7,1.6,2016,120,4-8,4-8,-0.85,-1.1,-0.7,-1.02,-0.98,-0.137,-1.18,0.23,1.15,3.63
1095,Kent State,7-5-0,58.3,41.7,3.5,2016,104,3-9,2-8,-0.54,-1.05,0.05,-0.76,-0.92,-0.13,-0.67,1.12,2.2,3.98
1096,Arizona State,7-5-0,58.3,41.7,6.3,2016,76,5-7,4-7,-0.14,-0.44,-0.15,-1.04,-0.79,-0.116,-2.01,1.13,3.5,7.0
1097,Rice,7-5-0,58.3,41.7,4.1,2016,122,3-9,2-9,-0.88,-0.98,-0.84,-1.22,-1.24,-0.162,-2.32,0.31,1.41,3.82
1098,Ole Miss,7-5-0,58.3,41.7,5.4,2016,32,5-7,4-7,0.36,0.57,0.03,-0.28,-0.23,-0.002,-0.04,1.75,4.61,8.13
1099,Virginia Tech,8-6-0,57.1,42.9,3.0,2016,18,10-4,9-4,0.54,0.06,1.02,0.73,0.73,0.144,0.76,0.95,3.47,7.79
1100,San Diego State,8-6-0,57.1,42.9,4.1,2016,48,11-3,10-3,0.19,-0.39,0.62,0.86,0.9,0.148,1.15,0.16,0.89,3.69
1101,Washington,8-6-0,57.1,42.9,1.0,2016,4,12-2,11-2,1.12,0.88,1.38,1.91,1.82,0.193,2.54,1.49,3.96,7.81
1102,Navy,8-6-0,57.1,42.9,10.8,2016,46,9-5,8-5,0.19,1.08,-0.65,0.36,0.36,0.021,0.46,0.34,2.26,6.55
1103,Western Kentucky,8-6-0,57.1,42.9,3.4,2016,19,11-3,10-3,0.53,0.73,0.28,1.39,1.54,0.217,2.11,0.91,2.02,4.57
1104,Georgia Tech,6-5-1,54.6,45.5,0.5,2016,37,9-4,8-4,0.3,0.43,0.06,0.14,0.31,-0.011,0.81,0.92,3.22,7.16
1105,New Mexico State,6-5-1,54.6,45.5,-0.5,2016,118,3-9,3-9,-0.83,-1.02,-0.75,-1.05,-1.12,-0.13,-1.48,0.21,1.12,4.02
1106,Kentucky,7-6-0,53.9,46.2,2.4,2016,69,7-6,6-6,-0.07,-0.05,-0.08,-0.39,-0.44,-0.039,0.21,1.25,3.47,7.13
1107,Kansas State,7-6-0,53.9,46.2,-1.4,2016,30,9-4,8-4,0.36,0.2,0.47,0.51,0.49,0.033,-0.2,0.62,3.03,7.02
1108,Oklahoma State,7-6-0,53.9,46.2,-1.7,2016,23,10-3,9-3,0.42,0.47,0.41,0.69,0.82,0.116,0.89,0.61,2.99,7.11
1109,Washington State,7-6-0,53.9,46.2,-0.9,2016,14,8-5,8-4,0.64,0.73,0.47,0.85,0.93,0.101,0.0,0.88,3.12,7.2
1110,Mississippi State,7-6-0,53.9,46.2,6.5,2016,53,6-7,5-7,0.12,0.26,-0.06,-0.21,-0.18,-0.015,-0.51,1.61,3.96,7.27
1111,Colorado State,7-6-0,53.9,46.2,8.1,2016,61,7-6,6-6,0.05,0.48,-0.39,0.32,0.22,0.065,0.67,0.32,1.74,5.13
1112,Clemson,8-7-0,53.3,46.7,-0.5,2016,5,14-1,13-1,1.09,1.04,1.3,1.4,1.34,0.223,1.63,2.25,5.67,9.96
1113,Notre Dame,6-6-0,50.0,50.0,0.3,2016,42,4-8,4-8,0.26,0.19,0.4,0.29,0.4,0.027,0.61,0.72,3.1,7.07
1114,Utah State,6-6-0,50.0,50.0,-0.5,2016,92,3-9,2-9,-0.38,-0.63,-0.06,-0.61,-0.73,-0.051,0.12,0.45,2.1,5.44
1115,Western Michigan,7-7-0,50.0,50.0,1.7,2016,17,13-1,12-1,0.54,0.85,0.22,1.6,1.61,0.186,0.76,0.43,1.42,4.11
1116,East Carolina,6-6-0,50.0,50.0,2.0,2016,101,3-9,2-9,-0.5,-0.1,-0.52,-0.78,-0.96,-0.063,-0.94,0.37,2.16,5.84
1117,Rutgers,6-6-0,50.0,50.0,-1.8,2016,107,2-10,1-10,-0.6,-1.17,0.0,-1.71,-1.8,-0.252,-2.25,1.92,4.33,7.33
1118,Missouri,6-6-0,50.0,50.0,2.7,2016,74,4-8,3-8,-0.12,-0.1,-0.19,-0.58,-0.57,-0.057,-0.28,0.67,2.79,6.5
1119,Tulane,6-6-0,50.0,50.0,4.3,2016,93,4-8,3-8,-0.38,-0.92,0.38,-0.43,-0.58,-0.049,-0.75,0.27,1.81,5.23
1120,South Alabama,6-6-1,50.0,50.0,-0.3,2016,99,6-7,4-7,-0.47,-0.54,-0.4,-0.29,-0.33,-0.049,-0.4,0.12,0.93,3.6
1121,Northern Illinois,6-6-0,50.0,50.0,0.1,2016,80,5-7,5-6,-0.26,-0.35,-0.14,-0.04,-0.06,-0.003,-0.14,0.27,1.38,4.03
1122,Illinois,6-6-0,50.0,50.0,0.4,2016,98,3-9,2-9,-0.44,-0.92,0.02,-1.29,-1.44,-0.201,-0.83,1.19,3.79,7.31
1123,Florida State,6-6-0,50.0,50.0,1.9,2016,12,10-3,9-3,0.69,0.75,0.98,0.9,0.75,0.093,1.01,1.68,4.8,8.73
1124,Vanderbilt,6-6-1,50.0,50.0,0.1,2016,56,6-7,5-7,0.09,-0.53,0.66,-0.25,-0.22,-0.111,-0.8,0.74,3.37,7.67
1125,Charlotte,6-6-0,50.0,50.0,2.9,2016,121,4-8,3-8,-0.87,-1.24,-0.48,-1.01,-1.16,-0.124,-1.38,0.36,1.19,3.13
1126,Alabama,7-8-0,46.7,53.3,-0.3,2016,1,14-1,13-1,1.45,0.75,2.09,1.82,1.68,0.269,2.51,2.29,6.43,10.79
1127,Minnesota,6-7-0,46.2,53.9,0.6,2016,41,9-4,8-4,0.27,-0.48,0.89,0.28,0.38,0.02,0.15,0.81,3.19,6.87
1128,North Texas,6-7-0,46.2,53.9,0.7,2016,114,5-8,4-8,-0.7,-0.96,-0.63,-1.02,-0.94,-0.182,-1.31,0.32,1.31,3.91
1129,Wake Forest,6-7-0,46.2,53.9,-3.4,2016,63,7-6,6-6,0.02,-0.71,0.72,-0.39,-0.28,-0.058,-0.64,1.04,3.15,6.69
1130,TCU,6-7-0,46.2,53.9,-3.8,2016,47,6-7,5-7,0.19,-0.2,0.7,0.29,0.25,0.053,0.6,0.52,2.8,7.07
1131,Central Michigan,6-7-0,46.2,53.9,1.4,2016,102,6-7,5-7,-0.53,-0.71,-0.41,-0.78,-0.84,-0.064,-0.54,0.33,1.56,4.71
1132,Utah,6-7-0,46.2,53.9,1.9,2016,38,9-4,8-4,0.29,-0.19,0.64,0.24,0.4,0.068,0.02,0.99,3.18,6.87
1133,UTSA,6-7-0,46.2,53.9,2.8,2016,90,6-7,5-7,-0.32,-0.65,-0.01,0.05,0.19,-0.04,-0.72,0.2,1.02,3.61
1134,Oklahoma,6-7-0,46.2,53.9,4.8,2016,11,11-2,11-2,0.71,1.35,0.19,1.28,1.19,0.151,2.04,1.13,3.78,7.88
1135,Ohio State,6-7-0,46.2,53.9,-1.6,2016,3,11-2,11-2,1.17,0.58,1.67,1.55,1.51,0.171,1.36,1.81,4.88,8.57
1136,NC State,6-7-0,46.2,53.9,-6.4,2016,40,7-6,6-6,0.28,0.06,0.75,0.31,0.09,0.037,0.46,1.15,3.7,7.46
1137,Georgia,6-7-0,46.2,53.9,-2.4,2016,50,8-5,7-5,0.17,-0.28,0.76,0.22,0.05,0.071,0.23,0.65,3.11,7.41
1138,Arkansas,6-7-0,46.2,53.9,4.6,2016,44,7-6,6-6,0.24,0.32,0.03,-0.35,-0.31,-0.029,-1.08,1.77,4.78,8.45
1139,Fresno State,5-6-0,45.5,54.6,-6.0,2016,119,1-11,0-11,-0.85,-1.38,-0.47,-1.49,-1.41,-0.201,-1.44,0.17,1.33,4.32
1140,San Jose State,5-6-0,45.5,54.6,0.7,2016,117,4-8,3-8,-0.78,-1.08,-0.6,-1.2,-1.15,-0.094,-1.41,0.22,1.46,4.42
1141,Wisconsin,6-8-0,42.9,57.1,-1.4,2016,8,11-3,11-3,0.79,0.25,1.37,1.05,1.05,0.134,0.53,1.96,5.06,8.77
1142,Temple,6-8-0,42.9,57.1,0.0,2016,28,10-4,9-4,0.38,0.12,0.58,0.86,1.01,0.154,1.25,0.39,1.85,5.32
1143,Oregon State,5-7-0,41.7,58.3,0.5,2016,64,4-8,3-8,0.01,-0.21,0.25,-0.6,-0.6,-0.124,-0.52,1.06,3.73,7.63
1144,Texas State,5-7-0,41.7,58.3,0.0,2016,128,2-10,1-10,-1.27,-1.5,-1.13,-2.03,-2.12,-0.252,-2.29,0.17,1.14,3.93
1145,Texas A&M,5-7-1,41.7,58.3,1.1,2016,22,8-5,7-5,0.46,0.12,0.46,-0.01,0.12,-0.058,0.12,1.6,4.19,7.77
1146,Georgia Southern,5-7-0,41.7,58.3,-2.2,2016,94,5-7,4-7,-0.39,-0.73,-0.26,-0.56,-0.4,-0.118,-1.19,0.31,1.63,4.44
1147,Michigan State,5-7-0,41.7,58.3,2.0,2016,58,3-9,2-9,0.08,0.12,-0.03,-0.53,-0.54,-0.024,-0.43,1.69,4.21,7.26
1148,Kansas,5-7-0,41.7,58.3,-2.8,2016,106,2-10,1-10,-0.59,-1.23,-0.03,-1.59,-1.65,-0.22,-1.65,0.54,2.88,7.05
1149,Akron,5-7-0,41.7,58.3,2.1,2016,109,5-7,4-7,-0.61,-0.57,-0.62,-0.62,-0.63,-0.094,-0.21,0.48,1.72,4.04
1150,Toledo,5-7-1,41.7,58.3,1.1,2016,49,9-4,8-4,0.18,0.71,-0.14,1.1,1.04,0.145,1.5,0.28,1.25,3.96
1151,Nevada,5-7-0,41.7,58.3,-2.3,2016,110,5-7,4-7,-0.64,-0.4,-1.09,-0.61,-0.62,-0.117,-1.24,0.15,0.71,2.71
1152,Marshall,5-7-0,41.7,58.3,1.9,2016,124,3-9,2-9,-0.9,-1.15,-0.73,-1.27,-1.25,-0.201,-2.13,0.47,1.63,3.68
1153,Troy,5-7-1,41.7,58.3,0.0,2016,57,10-3,9-3,0.08,-0.4,0.57,0.67,0.77,0.076,0.48,0.59,1.32,3.47
1154,Connecticut,5-7-0,41.7,58.3,-3.2,2016,115,3-9,2-9,-0.72,-1.12,-0.24,-1.31,-1.34,-0.179,-1.15,0.24,1.49,4.9
1155,Stanford,5-8-0,38.5,61.5,-4.9,2016,21,10-3,10-3,0.47,-0.2,0.89,0.36,0.66,0.081,0.59,1.23,4.13,8.29
1156,West Virginia,5-8-0,38.5,61.5,-6.0,2016,26,10-3,9-3,0.4,0.18,0.73,0.67,0.6,0.069,0.78,0.62,3.07,7.35
1157,Appalachian State,5-8-0,38.5,61.5,-6.3,2016,51,10-3,10-3,0.16,-0.29,0.63,0.98,0.95,0.145,1.15,0.33,1.49,4.24
1158,South Carolina,5-8-0,38.5,61.5,-1.5,2016,78,6-7,5-7,-0.16,-0.86,0.63,-0.47,-0.38,-0.103,-0.72,0.85,3.16,7.06
1159,Iowa,5-8-0,38.5,61.5,-5.3,2016,24,8-5,8-4,0.42,-0.13,0.75,0.35,0.49,0.037,0.25,1.25,3.63,6.98
