,Team,Over Record,Over %,Under %,Total +/-,Year,Rank,Record,FBS,FEI,OFEI,DFEI,NDE,NPD,NAY,NPP,ELS,GLS,ALS
68,Oklahoma State,5-7-0,41.7,58.3,2.6,2007,26,7-6,6-6,0.4,0.53,0.22,0.2,0.13,0.013,0.07,1.2,4.13,8.08
69,Texas A&M,5-7-0,41.7,58.3,-3.4,2007,40,7-6,6-6,0.23,-0.19,0.41,-0.35,-0.24,-0.052,-1.0,1.38,4.35,8.03
70,Oregon State,5-7-0,41.7,58.3,-2.3,2007,28,9-4,8-4,0.37,-0.66,1.48,0.18,0.07,0.043,0.15,0.94,4.09,8.64
71,Arkansas State,5-7-0,41.7,58.3,-6.6,2007,88,5-7,5-7,-0.44,-0.86,0.11,-0.23,-0.3,-0.013,-0.04,0.34,1.38,3.85
72,Nevada,5-7-0,41.7,58.3,4.0,2007,86,6-7,5-7,-0.39,-0.18,-0.19,0.3,0.09,0.026,0.33,0.16,0.94,3.45
73,TCU,5-7-1,41.7,58.3,-2.2,2007,54,8-5,8-5,0.13,-0.71,0.89,0.43,0.53,0.121,0.35,0.33,1.66,5.15
74,Connecticut,5-7-0,41.7,58.3,-2.4,2007,38,9-4,8-4,0.26,-0.53,0.94,0.31,0.3,0.018,0.1,0.83,3.05,6.47
75,Utah State,5-7-0,41.7,58.3,-1.4,2007,113,2-10,2-10,-0.82,-1.14,-0.65,-1.4,-1.41,-0.228,-2.13,0.51,1.74,4.31
76,Syracuse,5-7-0,41.7,58.3,0.2,2007,96,2-10,2-10,-0.55,-0.9,-0.32,-1.63,-1.59,-0.248,-1.6,0.92,3.57,7.54
77,Kansas,5-7-0,41.7,58.3,0.3,2007,6,12-1,11-1,0.81,0.37,1.31,1.77,1.69,0.213,1.93,0.64,2.53,5.96
78,Boise State,5-7-0,41.7,58.3,3.3,2007,33,10-3,9-3,0.31,0.11,0.4,1.1,1.37,0.182,0.72,0.14,0.82,3.31
79,Ball State,5-7-0,41.7,58.3,1.0,2007,74,7-6,6-6,-0.19,-0.47,-0.01,0.08,0.02,0.025,-0.41,0.23,1.2,4.05
80,North Carolina,4-6-1,40.0,60.0,0.6,2007,69,4-8,3-8,-0.1,-0.91,0.48,-0.63,-0.59,-0.042,-0.1,0.47,2.53,6.46
81,Army,4-6-1,40.0,60.0,0.6,2007,106,3-9,2-9,-0.65,-1.72,0.12,-1.33,-1.22,-0.172,-1.52,0.22,1.59,4.9
82,Florida State,5-8-0,38.5,61.5,-0.7,2007,44,7-6,7-6,0.2,-0.7,0.91,-0.13,0.01,0.004,-0.03,0.94,3.76,8.01
83,Miami (OH),5-8-0,38.5,61.5,-5.9,2007,97,6-7,6-7,-0.56,-1.27,0.3,-0.21,-0.31,0.006,0.23,0.27,1.1,3.76
84,Boston College,5-8-0,38.5,61.5,1.2,2007,27,11-3,10-3,0.37,-0.09,1.07,0.82,0.74,0.105,1.14,0.61,3.0,7.31
85,UAB,4-7-0,36.4,63.6,1.0,2007,114,2-10,1-10,-0.86,-1.12,-0.77,-1.76,-1.74,-0.207,-1.66,0.18,1.4,4.85
86,Middle Tennessee,4-7-0,36.4,63.6,1.5,2007,84,5-7,5-6,-0.36,-0.69,0.17,-0.04,-0.09,-0.004,-0.41,0.47,1.55,3.89
87,Pittsburgh,4-7-0,36.4,63.6,-2.5,2007,58,5-7,4-7,0.05,-0.9,1.06,-0.22,-0.16,0.003,0.17,0.87,3.3,6.87
